City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
314,Tebingtinggi,ID,75.61,3.33,99.16,Hotel Malibou
317,Kavieng,PG,83.16,-2.57,150.8,Nusa Island Retreat
319,Mzimba,MW,72.95,-11.9,33.6,Zagegs Hotel
324,Moscow,RU,71.11,55.75,37.62,"The Ritz-Carlton, Moscow"
325,Garissa,KE,80.89,-0.45,39.64,Sharif Plaza Hotel
329,Puerto Vallarta,MX,86.0,20.62,-105.23,Sunset Plaza Beach Resort & Spa
330,Cockeysville,US,71.01,39.48,-76.64,Embassy Suites by Hilton Baltimore Hunt Valley
331,San Rafael,AR,87.06,-34.62,-68.33,Hotel San Rafael
332,Bubaque,GW,84.97,11.28,-15.83,"Casa Dora, Bubaque"
334,Luanda,AO,78.8,-8.84,13.23,EPIC SANA Luanda
339,Sao Miguel Do Araguaia,BR,81.84,-13.28,-50.16,Hotel Executivo Palace
341,Port Keats,AU,82.96,-14.25,129.55,TDC Village (Hundred Man Camp)
342,Port Blair,IN,80.96,11.67,92.75,Fortune Resort Bay Island
343,Alugan,PH,75.33,12.22,125.48,JM Lodge
345,Neiafu,TO,77.0,-18.65,-173.98,Mystic Sands
346,Key Biscayne,US,80.6,25.69,-80.16,"The Ritz-Carlton Key Biscayne, Miami"
348,Vao,NC,73.31,-22.67,167.48,Hotel Kou-Bugny
352,Prado,BR,76.44,-17.34,-39.22,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
354,Amuntai,ID,73.63,-2.42,115.25,Hotel Balqis
356,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
358,Guamuchil,MX,90.0,25.47,-108.1,Hotel Heredia
359,Arawa,PG,81.27,-6.21,155.54,Coastline Guest House
361,Coihueco,CL,82.4,-36.62,-71.83,Frutillares Coihueco
364,Trairi,BR,80.51,-3.28,-39.27,Pousada Field Lilies - Trairi
366,Buala,SB,83.01,-8.14,159.59,Maringe Lagoon Lodge
367,Hervey Bay,AU,70.0,-25.3,152.85,Shelly Bay Resort
368,Neuquen,AR,86.0,-38.95,-68.06,Hotel del Comahue
370,Santa Fe,AR,90.0,-31.63,-60.7,Conquistador Hotel
371,Paso De Los Toros,UY,80.6,-32.82,-56.52,Complejo Isabelino
375,Macas,EC,71.6,-2.32,-78.12,Casa Upano - Guesthouse & Sanctuary
377,Mecca,SA,77.5,21.43,39.83,Hotel Fairmont Makkah Clock Royal Tower
384,Yulara,AU,71.6,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
386,Pasco,US,82.99,28.29,-82.42,Single Family Home
387,Malakal,SS,78.62,9.53,31.66,Nile Palace Hotel
389,Ambon,ID,75.99,-3.7,128.18,Swiss-Belhotel Ambon
395,Tual,ID,82.81,-5.67,132.75,Grand Vilia Hotel
