City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
507,Guymon,US,78.8,36.68,-101.48,
510,Grand Gaube,MU,70.0,-20.01,57.66,
511,Luganville,VU,84.2,-15.53,167.17,
512,Pringsewu,ID,74.35,-5.36,104.97,
518,San Juan,AR,74.53,-31.54,-68.54,
519,Mapiri,BO,79.74,-15.25,-68.17,
520,Nabire,ID,81.43,-3.37,135.48,
522,Kokopo,PG,83.77,-4.35,152.26,
524,Yala,TH,73.0,6.33,101.25,
525,Bumbuna,SL,72.63,9.05,-11.73,
526,Puri,IN,74.03,19.8,85.85,
527,Coolum Beach,AU,73.99,-26.53,153.1,
529,Ouegoa,NC,80.82,-20.35,164.43,
533,Bahia Honda,CU,77.77,22.9,-83.16,
535,Port Shepstone,ZA,72.36,-30.74,30.45,
536,Kloulklubed,PW,78.8,7.04,134.26,
545,Cabanas,CU,78.8,22.98,-82.92,
550,Hambantota,LK,75.2,6.12,81.12,
553,Manta,EC,77.0,-0.95,-80.73,
556,Alugan,PH,80.71,12.22,125.48,
557,Tessalit,ML,76.06,20.2,1.01,
558,Tabaquite,TT,82.4,10.38,-61.3,
561,Ankazoabo,MG,74.55,-22.28,44.52,
563,Hirara,JP,78.8,24.8,125.28,
565,Havelock,US,71.01,34.88,-76.9,
566,Alta Floresta,BR,81.05,-9.88,-56.09,
568,Nogales,MX,88.0,31.31,-110.94,
570,Buala,SB,83.48,-8.14,159.59,
573,Moroni,KM,75.63,-11.7,43.26,
574,Garissa,KE,78.35,-0.45,39.64,
577,Oriximina,BR,79.16,-1.77,-55.87,
586,Inhambane,MZ,75.96,-23.86,35.38,
588,Salta,AR,82.4,-24.79,-65.41,
590,Comodoro Rivadavia,AR,71.6,-45.87,-67.5,
594,Manjeshwar,IN,77.0,12.72,74.89,THE NOUSHA VILLAGE
