City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
97,Licata,37.11,13.95,57.99,93,10,3.36,IT,2020-11-07 20:36:37
98,Bredasdorp,-34.53,20.04,62.6,51,0,14.99,ZA,2020-11-07 20:36:37
99,Dandong,40.13,124.39,32.85,73,0,8.68,CN,2020-11-07 20:36:37
100,Souillac,-20.52,57.52,73.4,78,40,6.93,MU,2020-11-07 20:36:37
101,Komsomolskiy,40.43,71.72,50.0,56,77,4.7,UZ,2020-11-07 20:36:37
102,Naze,28.37,129.48,73.4,94,75,16.11,JP,2020-11-07 20:36:37
103,Nome,64.5,-165.41,37.4,86,1,11.41,US,2020-11-07 20:34:21
104,Dukhovshchina,55.19,32.41,45.82,85,96,12.37,RU,2020-11-07 20:32:55
105,Kralendijk,12.15,-68.27,86.0,70,0,13.87,BQ,2020-11-07 20:36:38
106,Huarmey,-10.07,-78.15,66.47,71,4,11.34,PE,2020-11-07 20:36:38
107,Hithadhoo,-0.6,73.08,82.87,74,89,9.75,MV,2020-11-07 20:36:38
108,Tura,25.52,90.22,64.6,89,0,4.54,IN,2020-11-07 20:36:38
109,Kysyl-Syr,63.9,122.76,-10.28,89,81,4.38,RU,2020-11-07 20:36:38
110,Vila Velha,-20.33,-40.29,77.0,78,75,6.93,BR,2020-11-07 20:32:56
111,Bluff,-46.6,168.33,50.0,57,2,10.0,NZ,2020-11-07 20:36:38
112,Provideniya,64.38,-173.3,28.27,93,12,5.35,RU,2020-11-07 20:36:38
113,Bambous Virieux,-20.34,57.76,73.4,78,40,6.93,MU,2020-11-07 20:36:39
114,Qaanaaq,77.48,-69.36,-13.31,71,0,8.39,GL,2020-11-07 20:36:39
115,Hobart,-42.88,147.33,45.0,81,20,8.05,AU,2020-11-07 20:31:54
116,Kapaa,22.08,-159.32,82.4,78,40,13.87,US,2020-11-07 20:35:44
117,Kutum,14.2,24.67,67.68,26,5,10.65,SD,2020-11-07 20:36:39
118,Coihaique,-45.58,-72.07,68.0,37,0,5.82,CL,2020-11-07 20:36:39
119,Tiksi,71.69,128.87,-8.05,91,0,1.86,RU,2020-11-07 20:36:39
120,Riyadh,24.69,46.72,69.8,35,0,3.36,SA,2020-11-07 20:33:54
121,Meiganga,6.52,14.3,67.35,54,99,3.96,CM,2020-11-07 20:36:39
122,Campobasso,41.63,14.58,54.0,87,0,1.5,IT,2020-11-07 20:36:39
123,Poum,-20.23,164.02,76.82,73,5,12.91,NC,2020-11-07 20:36:39
124,Port Elizabeth,-33.92,25.57,64.4,93,1,8.05,ZA,2020-11-07 20:35:54
125,Zhanaozen,43.3,52.8,45.21,68,100,9.95,KZ,2020-11-07 20:36:39
126,Port-Gentil,-0.72,8.78,78.8,94,75,11.41,GA,2020-11-07 20:36:40
127,Portland,45.52,-122.68,46.99,75,75,5.82,US,2020-11-07 20:36:40
128,Lasa,46.62,10.7,46.0,80,5,1.72,IT,2020-11-07 20:36:40
129,San Lazaro,18.04,-88.66,87.8,70,75,5.82,BZ,2020-11-07 20:36:40
130,Nalut,30.33,10.85,59.14,61,0,11.65,LY,2020-11-07 20:36:40
